title,num_pages,rating,rating_count,editions,foreward,five_star,four_star,three_star,two_star,one_star,product_url,author,co_author(s),genre(s),publication_date,book_format,book_cost($),book_access
Be the Outlier: How to Ace Data Science Interviews,,3.75,20,1,"According to LinkedIn's third annual U.S. Emerging Jobs Report, the data scientist role is ranked third among the top-15 emerging jobs in the U.S. Though the field of data science has been exploding, there didn't appear to be a comprehensive resource to help data scientists navigate the interview process... until now.In Be the How to Ace Data Science Interviews, data scientist Shrilata Murthy covers all aspects of a data science interview in today's industry. Murthy combines her own experience in the job market with expert insight from data scientists with Google, Facebook, Amazon, NASA, Aetna, MBB & Big 4 consulting firms, and many more.In this book, you'll learn...-the foundational knowledge that is key to any data science interview-the 100-Word Story framework for writing a stellar resume-what to expect from a variety of interview styles (take-home, presentation, case study, etc.), and-actionable ways to differentiate yourself from your peers.By using real-world examples, practice questions, and sample interviews, Murthy has created an easy-to-follow guide that will help you crack any data science interview. After reading Be the Outlier, get ready to land your dream job in data science.",5,8,5,1,1,https://www.goodreads.com/book/show/55000016-be-the-outlier?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=1346,Shrilata Murthy,,"Genres, Nonfiction",2020-08-04,Kindle Edition,5.99,Purchase on Goodreads
Big Data and Social Science: A Practical Guide to Methods and Tools,376,2.67,6,1,"Both Traditional Students and Working Professionals Acquire the Skills to Analyze Social Problems. Big Data and Social A Practical Guide to Methods and Tools shows how to apply data science to real-world problems in both research and the practice. The book provides practical guidance on combining methods and tools from computer science, statistics, and social science. This concrete approach is illustrated throughout using an important national problem, the quantitative study of innovation. The text draws on the expertise of prominent leaders in statistics, the social sciences, data science, and computer science to teach students how to use modern social science research principles as well as the best analytical and computational tools. It uses a real-world challenge to introduce how these tools are used to identify and capture appropriate data, apply data science models and tools to that data, and recognize and respond to data errors and limitations. For more information, including sample chapters and news, please visit the author's .",0,1,3,1,1,https://www.goodreads.com/book/show/29395434-big-data-and-social-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=1859,Ian Foster ," Rayid Ghani , Ron S Jarmin ","Genres, Science, Physics, Textbooks, Mathematics, Reference, Technical, Nonfiction",2016-08-09,Hardcover,,Purchase on Amazon
Build a Career in Data Science,250,4.44,148,1,"Build a Career in Data Science is your guide to getting your first data science job, then quickly becoming a senior employee. Industry experts Jacqueline Nolis and Emily Robinson lay out the soft skills youÃ¢â¬â¢ll need alongside your technical know-how in order to succeed in the field. Following their clear and simple instructions youÃ¢â¬â¢ll craft a resume that hiring managers will love, learn how to ace your interview, and ensure you hit the ground running in your first months at your new job. Once youÃ¢â¬â¢ve gotten your foot in the door, learn to thrive as a data scientist by handling high expectations, dealing with stakeholders, and managing failures. Finally, youÃ¢â¬â¢ll look towards the future and learn about how to join the broader data science community, leaving a job gracefully, and plotting your career path. With this book by your side youÃ¢â¬â¢ll have everything you need to ensure a rewarding and productive role in data science.",88,41,18,1,1,https://www.goodreads.com/book/show/52661559-build-a-career-in-data-science?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=21,Emily  Robinson (Goodreads Author), Jacqueline Nolis (Goodreads Author),"Genres, Nonfiction, Science, Technology, Computer , Science, Artificial , Intelligence, Programming, Computers ...more",2020-01-01,Hardcover,28.99,Purchase on Goodreads
Business Analytics: The Science of Data-Driven Decision Making,,4.1,41,1,"The book has 17 chapters and addresses all components of analytics such as descriptive, predictive and prescriptive analytics. The first few chapters are dedicated to foundations of business analytics. Introduction to business analytics and its components such as descriptive, predictive and prescriptive analytics along with several applications are discussed in Chapter 1. In Chapters 2 to 8, we discuss basic statistical concepts such as descriptive statistics, concept of random variables, discrete and continuous random variables, confidence interval, hypothesis testing, analysis of variance and correlation. Chapters 9 to 13 are dedicated to predictive analytics techniques such as multiple linear regression, logistic regression, decision tree learning and forecasting techniques. Clustering is discussed in Chapter 14. Chapter 15 is dedicated to prescriptive analytics in which concepts such as linear programming, integer programming, and goal programming are discussed. Stochastic models and Six Sigma are discussed in Chapters 16 and 17, respectively.",21,11,4,2,3,https://www.goodreads.com/book/show/36369905-business-analytics?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=198,U Dinesh Kumar,,"Genres, Computer , Science, Business, Nonfiction",2017-08-28,Kindle Edition,9.91,Purchase on Goodreads
"Business Intelligence: An Essential BeginnerÃ¢â¬â¢s Guide to BI, Big Data, Artificial Intelligence, Cybersecurity, Machine Learning, Data Science, Data Analytics, Social Media and Internet Marketing",89,3.75,4,1," Do you want to learn about business intelligence but don't feel like reading a boring textbook?  This book could be the answer you're looking for...  In the modern business world, the pace of action continues to quicken. Businesses need to be able to get actionable insights from their data in order to make the right decisions to act rapidly and effectively.  In this book, you will be introduced to the concept of business intelligence. Business intelligence is closely connected to data, and so as part of our journey, we are going to see how modern companies are using big data, together with artificial intelligence, machine learning, and pattern recognition in order to build systems of data-driven decision making.  After we get a handle on what business intelligence is, we will learn how it ties together with the next computer revolution (happening right before our eyes). We will discuss the use of artificial intelligence, machine learning, and pattern recognition to retrieve insights from the large amounts of data that companies are routinely collecting, storing, and using.  We will also explore the roles that social media and internet marketing are playing in the growth of business intelligence, and how companies like Facebook are helping other companies act on data in powerful ways.  Here's just a tiny fraction of what you'll discover:  
   An Introduction to BI, Big Data, AI, and More 
   An Overview of Business Intelligence 
   BI and AI 
   BI and Big Data 
   BI And Machine Learning 
   Data Science 
   Cybersecurity 
   BI and Data Mining 
   BI and Social Media 
   BI and Internet Marketing 
   And much much more! 
 So if you want to learn more about Business Intelligence, click the Ã¢â¬Åadd to cartÃ¢â¬Â button!",1,1,2,0,0,https://www.goodreads.com/book/show/52643598-business-intelligence?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=88,Richard Hurley,,"Genres, Programming, Technology, Nonfiction, Technical, Computers, Computer , Science, Science",2019-10-05,Kindle Edition,,Kindle Unlimited
Clean Data - Data Science Strategies for Tackling Dirty Data,274,3.08,12,1,"Is much of your time spent doing tedious tasks such as cleaning dirty data, accounting for lost data, and preparing data to be used by others? If so, then having the right tools makes a critical difference, and will be a great investment as you grow your data science expertise. The book starts by highlighting the importance of data cleaning in data science, and will show you how to reap rewards from reforming your cleaning process. Next, you will cement your knowledge of the basic concepts that the rest of the book relies file formats, data types, and character encodings. You will also learn how to extract and clean data stored in RDBMS, web files, and PDF documents, through practical examples. At the end of the book, you will be given a chance to tackle a couple of real-world projects. Megan Squire is a professor of computing sciences at Elon University. She has been collecting and cleaning dirty data for two decades. She is also the leader of FLOSSmole.org, a research project to collect data and analyze it in order to learn how free, libre, and open source software is made.",1,2,7,1,1,https://www.goodreads.com/book/show/25605231-clean-data---data-science-strategies-for-tackling-dirty-data?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=1489,Megan Squire,,"Genres, Computers, Nonfiction",,Kindle Edition,10.13,Purchase on Goodreads
"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science",495,4.42,118,1,"The twenty-first century has seen a breathtaking expansion of statistical methodology, both in scope and in influence. 'Big data', 'data science', and 'machine learning' have become familiar terms in the news, as statistical methods are brought to bear upon the enormous data sets of modern science and commerce. How did we get here? And where are we going? This book takes us on an exhilarating journey through the revolution in data analysis following the introduction of electronic computation in the 1950s. Beginning with classical inferential theories - Bayesian, frequentist, Fisherian - individual chapters take up a series of influential survival analysis, logistic regression, empirical Bayes, the jackknife and bootstrap, random forests, neural networks, Markov chain Monte Carlo, inference after model selection, and dozens more. The distinctly modern approach integrates methodology and algorithms with statistical inference. The book ends with speculation on the future direction of statistics and data science.",66,36,15,1,0,https://www.goodreads.com/book/show/30462852-computer-age-statistical-inference?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=16,Bradley Efron, Trevor Hastie,"Genres, Business, Nonfiction, Technology, Computer , Science, Science, Programming, Technical",,Hardcover,56.99,Purchase on Goodreads
"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow",52,3.62,13,1,"This is the 3rd part in my Data Science and Machine Learning series on Deep Learning in Python. At this point, you already know a lot about neural networks and deep learning, including not just the basics like backpropagation, but how to improve it using modern techniques like momentum and adaptive learning rates. You've already written deep neural networks in Theano and TensorFlow, and you know how to run code using the GPU.  This book is all about how to use deep learning for computer vision using convolutional neural networks. These are the state of the art when it comes to image classification and they beat vanilla deep networks at tasks like MNIST.  In this course we are going to up the ante and look at the StreetView House Number (SVHN) dataset - which uses larger color images at various angles - so things are going to get tougher both computationally and in terms of the difficulty of the classification task. But we will show that convolutional neural networks, or CNNs, are capable of handling the challenge!  Because convolution is such a central part of this type of neural network, we are going to go in-depth on this topic. It has more applications than you might imagine, such as modeling artificial organs like the pancreas and the heart. I'm going to show you how to build convolutional filters that can be applied to audio, like the echo effect, and I'm going to show you how to build filters for image effects, like the Gaussian blur and edge detection.  After describing the architecture of a convolutional neural network, we will jump straight into code, and I will show you how to extend the deep neural networks we built last time with just a few new functions to turn them into CNNs. We will then test their performance and show how convolutional neural networks written in both Theano and TensorFlow can outperform the accuracy of a plain neural network on the StreetView House Number dataset.  All the materials used in this book are FREE. You can download and install Python, Numpy, Scipy, Theano, and TensorFlow with pip or easy_install.  Lastly, my goal is to show you that convolutional networks arenÃ¢â¬â¢t magical and they donÃ¢â¬â¢t require expert-level math to figure out.  ItÃ¢â¬â¢s just the same thing we had with regular neural networks:  y = softmax( relu(X.dot(W1).dot(W2) )  Except we replace the first Ã¢â¬Ådot productÃ¢â¬Â with a convolution:  y = softmax( relu(conv(X, W1)).dot(W2) )  The way they are trained is exactly the same as before, so all your skills with backpropagation, etc. carry over.",4,2,5,2,0,https://www.goodreads.com/book/show/30238998-convolutional-neural-networks-in-python?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=970,Lazy Programmer (Goodreads Author),,"Genres, Nonfiction, Science, Technology, Business, Reference, Programming, Academic",2016-05-15,Kindle Edition,,Kindle Unlimited
"Crack Your Next Data Science Interview with 300+ Questions: SQL,Statistics,Python,R,Aptitude,Project Description",,3.36,11,1,"Probably you have a lot of information about what to study and not to study for a Data Science job. But, when you start applying to a DS job, then you will realize that the whole process contains a lot of diverse rounds which includes 1. Problem Solving 2. Statistics 3. Aptitude 4. Guesstimate 5. Python and R 6. SQL and Excel 7. Project Description  This book contains more than 300 questions covering all the essential topics. You will get the complete idea of the recruitment drive ",4,2,2,0,3,https://www.goodreads.com/book/show/51044987-crack-your-next-data-science-interview-with-300-questions?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=373,The DataMonk,,"Genres, Business, Nonfiction",2019-07-03,Kindle Edition,,Kindle Unlimited
Data Analytics: What Every Business Must Know About Big Data And Data Science,59,4.18,50,1,"You may be the owner of a business, or someone who actively participates in the day to day operations of a business. We will go ahead and assume that your business is operating at a profit and you are happy with the direction it is going. As someone in this situation you might ask yourself, ""Why do I need Data Analysis anyways?"". I'll tell you why, one simple reason. You are leaving money on the table . Let's put it this way.. you are doing good, but wouldn't you rather be doing great? Wouldn't you rather have the ability to predict how the consumers in your target market are going to be behaving a year from now? Five years from now? This is where Data Analysis comes in.Many people realize the need to pay attention to data in their business, but have no clue where to start. With the help of this book you will be better able to understand the importance of the data surrounding your business and exactly what to do with it.Ã¢Åâ The Importance of Data in BusinessÃ¢Åâ Exactly How to Handle and Manage Big DataÃ¢Åâ Real World Examples of Data Science Benefiting BusinessesÃ¢Åâ Ways Data Can Be Used to Mitigate RisksÃ¢Åâ The Entire Process of Data AnalyticsÃ¢Åâ Much, much more!Take charge of your business today and buy this book!",26,10,11,3,0,https://www.goodreads.com/book/show/30819734-data-analytics?from_search=true&from_srp=true&qid=lolPVmy4Sz&rank=368,James                   Smith,,"Genres, Programming, Computer , Science, Technology, Nonfiction, Technical, Reference, Computers ...more",2016-06-28,Kindle Edition,,Kindle Unlimited
